gene	total_score	normal_score	disease_score	network_score	network_module	network_celltype	disease_models	state_module	top_interpretation
ABCA4	205	55	60	35	normal_module_01	photoreceptor	rd10_retina_gse183206;rd1_retina_gse212183;rpgr_organoid_srp535874	visual_cycle_rpe	ABCA4 has RP-relevant cell-type support: photoreceptor; coexpression module support: normal_module_01[photoreceptor] anchored by KCNV2, GUCA1A, UNC119; mechanism module: visual_cycle_rpe; observed in disease-model datasets: rd10_retina_gse183206, rd1_retina_gse212183, rpgr_organoid_srp535874; disease DEG support: rd10_rod_late_deg, rd1_stage_deg, rpgr_celltype_deg, rpgr_group_deg, rpgr_time_deg (Bipolar cells, C03_vs_C02 late_deg_rods, Cones, D150)
RDH12	205	55	60	35	normal_module_01	photoreceptor	rd10_retina_gse183206;rd1_retina_gse212183;rpgr_organoid_srp535874	visual_cycle_rpe	RDH12 has RP-relevant cell-type support: photoreceptor; coexpression module support: normal_module_01[photoreceptor] anchored by KCNV2, GUCA1A, UNC119, RP1; mechanism module: visual_cycle_rpe; observed in disease-model datasets: rd10_retina_gse183206, rd1_retina_gse212183, rpgr_organoid_srp535874; disease DEG support: rd10_cone_deg, rd10_rod_early_deg, rd1_stage_deg, rpgr_celltype_deg, rpgr_time_deg (C02_vs_C01 early_deg_rods, C04 rd10_vs_wt_cones, Cones, D150)
USH2A	205	55	60	35	normal_module_01	photoreceptor	rd10_retina_gse183206;rd1_retina_gse212183;rpgr_organoid_srp535874	cilium_outer_segment	USH2A has RP-relevant cell-type support: photoreceptor; coexpression module support: normal_module_01[photoreceptor] anchored by KCNV2, GUCA1A, UNC119; mechanism module: cilium_outer_segment; observed in disease-model datasets: rd10_retina_gse183206, rd1_retina_gse212183, rpgr_organoid_srp535874; disease DEG support: rd1_stage_deg, rpgr_celltype_deg, rpgr_group_deg, rpgr_time_deg (Cones, D150, D200, D90)
EYS	195	55	50	35	normal_module_01	photoreceptor	rd10_retina_gse183206;rd1_retina_gse212183;rpgr_organoid_srp535874	cilium_outer_segment	EYS has RP-relevant cell-type support: photoreceptor; coexpression module support: normal_module_01[photoreceptor] anchored by KCNV2, GUCA1A, UNC119; mechanism module: cilium_outer_segment; observed in disease-model datasets: rpgr_organoid_srp535874; disease DEG support: rpgr_celltype_deg, rpgr_group_deg, rpgr_time_deg (Amacrine cells, Bipolar cells, Cones, D150)
CNGA1	190	55	60	35	normal_module_01	photoreceptor	rd10_retina_gse183206;rd1_retina_gse212183;rpgr_organoid_srp535874	phototransduction	CNGA1 has RP-relevant cell-type support: rod; coexpression module support: normal_module_01[photoreceptor] anchored by KCNV2, GUCA1A, UNC119, RP1; mechanism module: phototransduction; observed in disease-model datasets: rd10_retina_gse183206, rd1_retina_gse212183, rpgr_organoid_srp535874; disease DEG support: rd10_cone_deg, rd10_rod_early_deg, rd1_stage_deg, rpgr_celltype_deg, rpgr_time_deg (C02_vs_C01 early_deg_rods, C04 rd10_vs_wt_cones, D150, D200)
CRB1	190	55	60	35	normal_module_01	photoreceptor	rd10_retina_gse183206;rd1_retina_gse212183;rpgr_organoid_srp535874		CRB1 has RP-relevant cell-type support: muller, photoreceptor; coexpression module support: normal_module_01[photoreceptor] anchored by KCNV2, GUCA1A, UNC119, RP1; observed in disease-model datasets: rd10_retina_gse183206, rd1_retina_gse212183, rpgr_organoid_srp535874; disease DEG support: rd10_cone_deg, rd1_stage_deg, rpgr_celltype_deg, rpgr_time_deg (Amacrine cells, C04 rd10_vs_wt_cones, Cones, D150)
IMPG2	190	55	60	35	normal_module_01	photoreceptor	rd10_retina_gse183206;rd1_retina_gse212183;rpgr_organoid_srp535874		IMPG2 has RP-relevant cell-type support: photoreceptor; coexpression module support: normal_module_01[photoreceptor] anchored by KCNV2, GUCA1A, UNC119, RP1; observed in disease-model datasets: rd10_retina_gse183206, rd1_retina_gse212183, rpgr_organoid_srp535874; disease DEG support: rd10_rod_early_deg, rd10_rod_late_deg, rd1_stage_deg, rpgr_celltype_deg, rpgr_group_deg, rpgr_time_deg (C02_vs_C01 early_deg_rods, C03_vs_C02 late_deg_rods, Cones, D150)
MAK	190	55	60	35	normal_module_01	photoreceptor	rd10_retina_gse183206;rd1_retina_gse212183;rpgr_organoid_srp535874	cilium_outer_segment	MAK has RP-relevant cell-type support: photoreceptor; coexpression module support: normal_module_01[photoreceptor] anchored by KCNV2, GUCA1A, UNC119, RP1; mechanism module: cilium_outer_segment; observed in disease-model datasets: rd10_retina_gse183206, rd1_retina_gse212183, rpgr_organoid_srp535874; disease DEG support: rd10_rod_late_deg, rd1_stage_deg, rpgr_celltype_deg, rpgr_group_deg, rpgr_time_deg (C03_vs_C02 late_deg_rods, Cones, D150, D200)
NRL	190	55	60	35	normal_module_01	photoreceptor	rd10_retina_gse183206;rd1_retina_gse212183;rpgr_organoid_srp535874	phototransduction	NRL has RP-relevant cell-type support: rod; coexpression module support: normal_module_01[photoreceptor] anchored by KCNV2, GUCA1A, UNC119, RP1; mechanism module: phototransduction; observed in disease-model datasets: rd10_retina_gse183206, rd1_retina_gse212183, rpgr_organoid_srp535874; disease DEG support: rd10_cone_deg, rd10_rod_early_deg, rd10_rod_late_deg, rd1_stage_deg, rpgr_celltype_deg, rpgr_group_deg, rpgr_time_deg (Amacrine cells, C02_vs_C01 early_deg_rods, C03_vs_C02 late_deg_rods, C04 rd10_vs_wt_cones)
RP1	190	55	60	35	normal_module_01	photoreceptor	rd10_retina_gse183206;rd1_retina_gse212183;rpgr_organoid_srp535874	cilium_outer_segment	RP1 has RP-relevant cell-type support: photoreceptor, rod; coexpression module support: normal_module_01[photoreceptor] anchored by KCNV2, GUCA1A, UNC119, RP1; mechanism module: cilium_outer_segment; observed in disease-model datasets: rd10_retina_gse183206, rd1_retina_gse212183, rpgr_organoid_srp535874; disease DEG support: rd1_stage_deg, rpgr_celltype_deg, rpgr_group_deg, rpgr_time_deg (Bipolar cells, Cones, D150, D200)
